campaign_id,ad_id,impressions,clicks,purchases,CTR,Conversion_Rate
38,60,1718,194,14,0.11292200232828871,0.07216494845360824
38,61,1520,218,13,0.14342105263157895,0.05963302752293578
38,114,1708,185,13,0.10831381733021077,0.07027027027027027
38,126,1698,195,15,0.11484098939929328,0.07692307692307693
38,147,1654,194,11,0.11729141475211609,0.05670103092783505
39,55,1741,217,10,0.12464101091326824,0.04608294930875576
39,58,1681,224,8,0.13325401546698393,0.03571428571428571
39,168,1740,198,9,0.11379310344827587,0.045454545454545456
40,44,1681,199,8,0.11838191552647234,0.04020100502512563
40,67,1704,197,12,0.11561032863849766,0.06091370558375635
40,170,1659,206,8,0.12417118746232671,0.038834951456310676
40,184,1642,221,10,0.1345919610231425,0.04524886877828054
41,128,1666,214,8,0.12845138055222088,0.037383177570093455
41,189,1752,182,18,0.10388127853881278,0.0989010989010989
41,194,1748,209,9,0.11956521739130435,0.0430622009569378
42,26,1710,172,5,0.10058479532163743,0.029069767441860465
42,48,1721,188,8,0.10923881464264962,0.0425531914893617
42,70,1815,198,11,0.10909090909090909,0.05555555555555555
42,101,1783,204,12,0.11441390914189568,0.058823529411764705
42,111,1635,209,9,0.12782874617737003,0.0430622009569378
42,117,1660,212,7,0.12771084337349398,0.0330188679245283
42,160,1668,204,7,0.1223021582733813,0.03431372549019608
42,167,1679,209,8,0.12447885646217986,0.03827751196172249
44,119,1678,204,12,0.12157330154946365,0.058823529411764705
44,141,1732,198,9,0.11431870669745958,0.045454545454545456
44,182,1691,208,5,0.12300413956238912,0.02403846153846154
44,200,1665,184,13,0.11051051051051052,0.07065217391304347
45,12,1680,178,10,0.10595238095238095,0.056179775280898875
45,97,1663,174,9,0.10463018641010223,0.05172413793103448
46,37,1674,194,11,0.11589008363201912,0.05670103092783505
46,80,1706,199,1,0.11664712778429073,0.005025125628140704
46,102,1784,197,11,0.11042600896860987,0.05583756345177665
46,153,1641,186,7,0.113345521023766,0.03763440860215054
46,177,1712,189,6,0.11039719626168225,0.031746031746031744
47,73,1667,198,11,0.1187762447510498,0.05555555555555555
47,127,1664,202,7,0.12139423076923077,0.034653465346534656
47,135,1655,187,8,0.11299093655589124,0.0427807486631016
47,173,1768,194,10,0.10972850678733032,0.05154639175257732
47,180,1717,210,18,0.12230634828188701,0.08571428571428572
47,192,1805,207,9,0.1146814404432133,0.043478260869565216
48,17,1694,206,7,0.12160566706021252,0.03398058252427184
48,28,1676,194,10,0.11575178997613365,0.05154639175257732
49,9,1738,195,9,0.11219792865362485,0.046153846153846156
49,30,1692,187,9,0.11052009456264776,0.0481283422459893
50,100,1707,179,8,0.1048623315758641,0.0446927374301676
